"name","code","indicator","indicator_code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.449462890625","93.9886169433594","91.5095672607422","82.402717590332","99.4701080322266","95.400260925293","92.1731033325195","89.5135116577148","95.1685791015625","97.5860137939453","92.6961517333984","95.5954284667969","93.4306182861328","91.6054306030273","98.13037109375","90.7368316650391","91.7717208862305","89.5144500732422","92.8068313598633","91.9911880493164","88.0894088745117","98.1257095336914","103.280212402344","111.301910400391","107.172172546387","100.219947814941","100.383338928223","99.5177993774414","94.3292999267578","",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.74468994140625","","10.7066097259521","10.8587503433228","11.5667295455933","10.84547996521","11.106240272522","11.1504497528076","11.293399810791","11.4968900680542","11.788330078125","14.0806798934937","19.1786994934082","26.285120010376","27.4190902709961","28.4215507507324","28.1072006225586","38.9180488586426","33.1408500671387","41.0745887756348","45.6658592224121","48.7923316955566","52.0253410339355","","","","","","","24.3505001068115","24.7870407104492","25.1833992004395","29.5831394195557","31.7919998168945","33.9464302062988","","38.660961151123","41.6534881591797","48.359058380127","51.5484199523926","56.3757705688477","62.9979209899902","70.719841003418","69.5665588378906","64.539680480957","67.6745071411133","68.3787002563477","63.0213890075684","59.3764190673828","52.9452705383301","52.9452705383301","",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","67.988037109375","69.6011734008789","70.5177230834961","72.4375915527344","74.4912109375","67.9652328491211","68.0403366088867","74.2399368286133","76.7947616577148","71.6752395629883","75.1000900268555","73.3164291381836","72.090446472168","71.350227355957","73.0824813842773","","","79.3348236083984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","18.2083301544189","21.2785606384277","21.733549118042","20.5769500732422","25.2224102020264","25.1312198638916","24.5163803100586","26.6809101104736","28.0457897186279","29.9370403289795","31.0934391021729","33.6030311584473","36.3955993652344","29.7593097686768","33.7422409057617","30.7568607330322","29.6744995117188","27.3365802764893","27.0206108093262","18.7912502288818","21.386100769043","21.658390045166","23.7917194366455","25.7407608032227","30.2514991760254","32.3626708984375","34.7839698791504","37.5240211486816","","37.804328918457","41.677318572998","43.788990020752","48.11962890625","51.8713188171387","","","","63.6705017089844","","66.7116088867188","71.6880187988281","73.0410766601563","78.605598449707","79.4543991088867","81.1403274536133","80.7455596923828","","","64.4395980834961","62.4214897155762","73.4704513549805","",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.19572019577026","6.79262018203735","7.03775978088379","6.79652976989746","7.62610006332397","7.55316019058228","8.55743980407715","8.74263000488281","9.56079959869385","9.32446956634521","10.2999095916748","10.5466604232788","11.3079595565796","12.3067398071289","13.9058198928833","","15.8259401321411","16.9158401489258","16.587230682373","19.4958000183105","19.9518508911133","26.6804695129395","26.2448806762695","27.1162109375","18.5944595336914","22.5724391937256","","","23.4680404663086","25.4222202301025","26.677619934082","27.4854698181152","29.1116504669189","30.4265308380127","31.7365798950195","32.8056182861328","34.9742698669434","38.8692588806152","43.9145088195801","47.0552215576172","53.6610717773438","57.3660316467285","62.344051361084","60.8494987487793","62.0298004150391","61.7243385314941","63.5192184448242","65.4789276123047","64.5494537353516","64.8891677856445","66.9678115844727","",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","44.571949005127","32.5847511291504","","","","28.9274806976318","","","","","","","","47.2596206665039","","","","","","","","","","","","","","","","66.3205490112305","","","59.0229911804199","65.4580383300781","67.8321914672852","112.357872009277","","","","","","","","","","121.917526245117","",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","96.8484420776367","97.4531936645508","96.936637878418","102.336318969727","93.2993316650391","93.7727737426758","91.185661315918","92.0359497070313","102.431968688965","103.427467346191","100.251770019531","96.5612411499023","93.6946029663086","99.4747009277344","110.229278564453","99.5395431518555","102.72142791748","102.494338989258","101.428230285645","99.1177673339844","89.2422332763672","87.5099487304688","85.9876403808594","88.2014770507813","87.8781585693359","90.3415679931641","94.4767990112305","93.9541931152344","96.0726928710938","96.1594314575195","101.754859924316","96.5668869018555","97.7925567626953","98.6427307128906","98.6592636108398","99.3508605957031","101.33283996582","95.1536483764648","101.704399108887","113.339561462402","110.201042175293","101.810562133789","98.9587936401367","97.9525375366211","96.191291809082","92.0453414916992","89.8164672851563","86.618537902832","84.9765167236328","87.8763427734375","","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.0169982910156","89.7120513916016","91.1469573974609","93.6242523193359","90.6902694702148","92.7966613769531","99.6544494628906","105.091819763184","","102.981750488281","100.892860412598","99.6644973754883","94.5714874267578","93.9359588623047","92.0588226318359","","94.3992614746094","100.385391235352","98.7881469726563","96.6848907470703","100.541427612305","100.103309631348","102.047119140625","101.628448486328","","","","","","89.4713821411133","93.2264175415039","94.4823684692383","96.647216796875","98.7402725219727","99.5136489868164","99.4512023925781","97.8741226196289","100.241188049316","","","",
"Bahamas, The","BHS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3255004882813","","","","","82.1727523803711","","","","","","101.865493774414","95.8360290527344","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.0431289672852","76.0256881713867","79.5856323242188","93.2427597045898","101.405456542969","93.7903518676758","89.0358963012695","85.4233627319336","","","","",
